.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR2979107	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979108	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979109	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979110	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979111	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979112	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979113	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979114	1	1	1	1	0.25	0.5	1	1	0.25	1	1
SRR2979115	1	1	1	1	0.25	0.5	1	1	0.25	1	1
SRR2979116	1	1	1	1	0.25	0.5	1	1	0.5	1	1
SRR2979117	1	1	1	1	0.25	0.5	1	1	0.5	1	1
SRR2979118	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979119	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979120	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979121	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979122	1	1	1	1	0.25	0.5	1	1	1	0.5	1
SRR2979123	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979124	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979125	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979126	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979127	1	1	1	1	0.25	0.5	1	1	1	0.5	1
SRR2979128	1	1	1	1	0.25	0.5	1	1	0.5	1	1
SRR2979129	1	1	1	1	0.25	0.5	1	1	1	1	1
SRR2979130	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979131	1	1	1	1	0.25	0.5	1	1	1	0.5	1
SRR2979132	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979133	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979134	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979135	1	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR2979136	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979137	1	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR2979138	1	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR2979139	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979140	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979141	1	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR2979142	1	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR2979143	1	1	1	1	0.25	0.5	1	1	1	0.5	1
SRR2979144	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979145	1	1	1	1	0.25	0.5	1	1	0.5	1	1
SRR2979146	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979147	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979148	1	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR2979149	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979150	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979151	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979152	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979153	1	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR2979154	1	1	1	1	0.25	0.25	1	1	1	1	1
SRR2979155	1	1	1	1	0.25	0.5	1	1	1	0.5	1
SRR2979156	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979157	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979158	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979159	1	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR2979160	1	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR2979161	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979162	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979163	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979164	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979165	1	1	1	1	0.25	0.5	1	1	1	0.5	1
SRR2979166	1	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR2979167	1	1	1	1	0.25	0.5	1	1	1	0.5	1
SRR2979168	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979169	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979170	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979171	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979172	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979173	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979174	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979175	1	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR2979176	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979177	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979178	1	1	1	1	0.25	0.5	1	1	1	0.5	1
SRR2979179	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979180	1	1	1	1	0.25	0.25	1	1	1	1	1
SRR2979181	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979182	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979183	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979184	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979185	1	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR2979186	1	1	1	1	0.25	0.5	1	1	1	0.5	1
SRR2979187	1	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR2979188	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979189	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2979190	1	1	1	1	0.25	0.5	1	1	1	0.5	1
SRR2979191	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2979192	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979193	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979194	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979195	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979196	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979197	1	1	1	1	0.25	0.25	1	1	1	1	1
SRR2979198	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979199	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979200	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979201	1	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR2979202	1	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR2979203	1	1	1	1	0.25	0.5	1	1	1	0.5	1
SRR2979204	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979205	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979206	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979207	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979208	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979209	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979210	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979211	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979212	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979213	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979214	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979215	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979216	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979217	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979218	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979219	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979220	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979221	1	1	1	1	0.25	0.25	1	1	1	1	1
SRR2979222	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979223	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979224	1	1	1	1	0.25	0.5	1	1	0.5	1	1
SRR2979225	1	1	1	1	0.25	0.5	1	1	1	1	1
SRR2979226	1	1	1	1	0.25	0.5	1	1	0.5	1	1
SRR2979227	1	1	0.5	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979228	1	1	0.5	1	0.25	0.5	1	1	0.25	0.5	1
SRR2979229	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979230	1	1	0.5	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979231	1	1	0.5	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979232	1	1	0.5	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979233	1	1	0.5	1	0.25	0.5	1	1	0.25	0.5	1
SRR2979235	1	1	0.5	1	0.25	0.25	1	1	0.25	0.5	1
SRR2979236	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979237	1	1	0.5	1	0.25	0.25	1	1	0.25	0.5	1
SRR2979238	1	1	0.5	1	0.25	0.25	1	1	0.25	0.5	1
SRR2979239	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979240	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979241	1	1	0.5	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979242	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979243	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979244	1	1	0.5	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979245	1	1	0.5	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979246	1	1	0.5	1	0.25	0.5	1	1	0.25	0.5	1
SRR2979247	1	1	0.5	1	0.25	0.25	1	1	0.25	0.5	1
SRR2979248	1	1	0.5	1	0.25	0.25	1	1	0.25	0.5	1
SRR2979249	1	1	0.5	1	0.25	0.25	1	1	0.25	0.5	1
SRR2979250	1	1	0.5	1	0.25	0.25	1	1	0.25	0.5	1
SRR2979251	1	1	0.5	1	0.25	0.5	1	1	0.25	0.5	1
SRR2979252	1	1	0.25	1	0.25	0.25	1	1	0.25	0.5	1
SRR2979253	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979254	1	1	0.25	1	0.25	0.25	1	1	0.25	0.5	1
SRR2979255	1	1	0.5	1	0.25	0.25	1	1	0.25	0.5	1
SRR2979256	1	1	0.5	1	0.25	0.25	1	1	0.25	0.5	1
SRR2979257	1	1	0.5	1	0.25	0.5	1	1	0.25	0.5	1
SRR2979258	1	1	0.5	1	0.25	0.25	1	1	0.25	0.5	1
SRR2979259	1	1	0.5	1	0.25	0.25	1	1	0.25	0.5	1
SRR2979260	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979261	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979262	1	1	0.5	1	0.25	0.25	1	1	0.25	0.5	1
SRR2979263	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979264	1	1	0.25	1	0.25	0.25	1	1	0.25	0.5	1
SRR2979265	1	1	0.5	1	0.25	0.25	1	1	0.25	0.5	1
SRR2979266	1	1	0.5	1	0.25	0.25	1	1	0.25	0.5	1
SRR2979267	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979268	1	1	0.5	1	0.25	0.25	1	1	0.25	0.5	1
SRR2979269	1	1	0.5	1	0.25	0.25	1	1	0.25	0.5	1
SRR2979270	1	1	0.5	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979271	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979272	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979273	1	1	0.5	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979274	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	1
SRR2979275	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979276	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979277	1	1	0.5	1	0.25	0.25	1	1	0.25	0.5	1
SRR2979278	1	1	0.5	1	0.25	0.25	1	1	0.25	0.5	1
SRR2979279	1	1	0.5	1	0.25	0.25	1	1	0.25	0.5	1
SRR2979280	1	1	0.5	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979281	1	1	0.5	1	0.25	0.5	1	1	0.25	0.5	1
SRR2979282	1	1	0.25	1	0.25	0.25	1	1	0.25	0.5	1
SRR2979283	1	1	0.5	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979284	1	1	0.25	1	0.25	0.25	1	1	0.25	0.5	1
SRR2979285	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979286	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2979287	1	1	0.5	1	0.25	0.25	1	1	0.25	0.5	1
SRR2979288	1	1	1	1	0.25	1	1	1	1	0.5	1
SRR2979289	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2979290	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2979291	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2979292	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2979293	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979294	1	1	1	1	0.25	1	1	1	0.5	1	1
SRR2979295	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979296	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2979297	1	1	1	1	0.25	0.5	1	1	0.5	0.25	1
SRR2979298	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2979299	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2979300	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979301	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979302	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2979303	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979304	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2979305	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2979306	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979307	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979308	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2979309	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2979310	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979311	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2979312	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2979313	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2979314	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979315	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2979316	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2979317	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979318	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2979319	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979320	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979321	1	1	1	1	0.25	0.25	1	1	0.25	0.5	1
SRR2979322	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2979323	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2979324	1	1	1	1	0.25	0.5	1	1	0.5	1	1
SRR2979325	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979326	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2979327	1	1	1	1	0.25	1	1	1	0.5	1	1
SRR2979328	1	1	1	1	0.25	1	1	1	0.5	1	1
SRR2979329	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2979330	1	1	1	1	0.25	1	1	1	0.25	1	1
SRR2979331	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2979332	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979333	1	1	1	1	0.25	0.5	1	1	0.25	1	1
SRR2979334	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2979335	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2979336	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2979337	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2979338	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2979339	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2979340	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2979341	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2979342	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2979343	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2979344	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2979345	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2979346	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2979347	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2979348	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2979349	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2979350	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2979351	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2979352	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2979353	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979354	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2979355	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979356	1	0.25	0.25	1	0.25	1	0.25	1	1	1	1
SRR2979357	1	0.25	0.25	1	0.25	1	0.25	1	1	1	1
SRR2979358	1	1	0.25	1	0.25	1	0.5	1	0.5	1	1
SRR2979359	1	0.25	0.25	1	0.25	1	0.25	1	1	0.5	1
SRR2979360	1	1	0.25	1	0.25	1	0.5	1	0.5	1	1
SRR2979361	1	1	0.25	1	0.25	1	0.5	1	1	0.5	1
SRR2979362	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2979363	1	1	0.25	1	0.25	1	1	1	1	0.5	1
SRR2979364	1	1	0.25	1	0.25	1	1	1	1	0.5	1
SRR2979365	1	1	0.25	1	0.25	0.5	0.5	1	1	0.5	1
SRR2979366	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
SRR2979367	1	1	0.25	1	0.25	0.5	1	1	1	0.5	1
SRR2979368	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2979369	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2979370	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979371	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2979372	1	1	0.25	1	0.25	1	1	1	1	0.5	1
SRR2979373	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2979374	1	1	0.25	1	0.25	0.5	1	1	1	0.5	1
SRR2979375	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979376	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2979377	1	1	1	1	0.25	0.25	1	1	0.5	0.25	1
SRR2979378	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2979379	1	1	0.25	1	0.25	1	1	1	1	0.5	1
SRR2979380	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2979381	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2979382	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2979383	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2979384	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2979385	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2979386	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2979387	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2979388	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2979389	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
SRR2979390	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979391	1	1	0.25	1	0.25	0.5	1	1	1	0.5	1
SRR2979392	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
SRR2979393	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2979394	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
SRR2979395	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2979396	1	1	0.25	1	0.25	1	1	1	0.5	1	1
SRR2979397	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979398	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2979399	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
SRR2979401	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2979402	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2979403	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2979404	1	1	0.25	1	0.25	0.5	1	1	0.5	1	1
SRR2979405	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2979406	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2979407	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2979408	1	1	0.25	1	0.25	0.5	1	1	0.5	1	1
SRR2979409	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979410	1	1	0.25	1	0.25	0.5	1	1	0.5	1	1
SRR2979411	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
SRR2979412	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
SRR2979413	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
SRR2979414	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2979415	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2979416	1	1	0.25	1	0.25	1	1	1	0.25	1	1
SRR2979417	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979418	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
SRR2979419	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
SRR2979420	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2979421	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2979422	1	1	0.25	1	0.25	1	1	1	0.5	1	1
SRR2979423	1	1	0.5	1	0.25	1	1	1	0.25	1	1
SRR2979424	1	1	0.5	1	0.25	1	1	1	0.5	0.5	1
SRR2979425	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
SRR2979426	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2979427	1	1	0.25	1	0.25	0.5	1	1	1	0.5	1
SRR2979428	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
SRR2979429	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2979430	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2979431	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
SRR2979432	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979433	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2979434	1	1	0.25	1	0.25	1	1	1	0.5	1	1
SRR2979435	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
SRR2979436	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
SRR2979437	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
SRR2979438	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2979439	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2979440	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
